,Experiment,MSE_None,MSE_Static4,relative_change,relative_change_capped,max_increase,MSE_Static4_clipped,Model,SL,PL
0,Autoformer_SL_192_PL_12_Divvy,1.3957816,1.3612652,-0.024729121,-0.02472912147641182,1.5353599,1.3612652,Autoformer,192,12
1,Autoformer_SL_96_PL_12_Divvy,1.5351214,1.4401146,-0.0618888,-0.06188879907131195,1.6886337,1.4401146,Autoformer,96,12
2,Autoformer_SL_48_PL_12_Divvy,1.3783857,1.4052134,0.019463126,0.019463125616312027,1.5162243,1.4052134,Autoformer,48,12
3,Autoformer_SL_48_PL_24_Divvy,1.695218,1.619884,-0.044439096,-0.04443909600377083,1.8647398,1.619884,Autoformer,48,24
4,FEDformer_SL_192_PL_24_Divvy,1.4843563,1.4584324,-0.017464707,-0.017464706674218178,1.632792,1.4584324,FEDformer,192,24
5,DLinear_SL_192_PL_24_Divvy,1.9509275,1.9833031,0.016594965,0.016594965010881424,2.1460202,1.9833031,DLinear,192,24
6,FEDformer_SL_24_PL_12_Divvy,1.162716,1.1137347,-0.04212663,-0.04212662950158119,1.2789876,1.1137347,FEDformer,24,12
7,Autoformer_SL_192_PL_24_Divvy,1.5088344,1.4047978,-0.068951614,-0.06895161420106888,1.6597178,1.4047978,Autoformer,192,24
8,FEDformer_SL_192_PL_12_Divvy,1.4296752,1.4097629,-0.013927892,-0.013927891850471497,1.5726428,1.4097629,FEDformer,192,12
9,FEDformer_SL_12_PL_12_Divvy,0.8575638,0.8401642,-0.02028958,-0.020289579406380653,0.9433202,0.8401642,FEDformer,12,12
10,FEDformer_SL_48_PL_24_Divvy,1.5687997,1.5093843,-0.037873197,-0.037873197346925735,1.7256798,1.5093843,FEDformer,48,24
11,Autoformer_SL_24_PL_24_Divvy,1.6043955,1.6054659,0.00066715485,0.0006671548471786082,1.7648351,1.6054659,Autoformer,24,24
12,Autoformer_SL_192_PL_96_Divvy,1.7292807,1.7709299,0.02408471,0.024084709584712982,1.9022088,1.7709299,Autoformer,192,96
13,DLinear_SL_24_PL_24_Divvy,1.4570789,1.4192199,-0.025982862,-0.02598286233842373,1.6027869,1.4192199,DLinear,24,24
14,FEDformer_SL_192_PL_144_Divvy,1.8425978,1.7961674,-0.025198374,-0.025198373943567276,2.0268576,1.7961674,FEDformer,192,144
15,Autoformer_SL_192_PL_48_Divvy,1.6765182,1.7014205,0.014853608,0.01485360786318779,1.8441701,1.7014205,Autoformer,192,48
16,Autoformer_SL_96_PL_24_Divvy,1.6191275,1.5512989,-0.041892104,-0.04189210385084152,1.7810403,1.5512989,Autoformer,96,24
17,DLinear_SL_192_PL_192_Divvy,2.7588525,2.7540538,-0.0017393647,-0.001739364699460566,3.0347378,2.7540538,DLinear,192,192
18,FEDformer_SL_96_PL_48_Divvy,1.7694392,1.730467,-0.022025203,-0.022025203332304955,1.9463832,1.730467,FEDformer,96,48
19,DLinear_SL_12_PL_12_Divvy,0.888426,0.83565,-0.05940391,-0.0594039112329483,0.97726864,0.83565,DLinear,12,12
20,FEDformer_SL_192_PL_192_Divvy,1.8757898,1.8298438,-0.024494218,-0.024494217708706856,2.0633688,1.8298438,FEDformer,192,192
21,DLinear_SL_192_PL_12_Divvy,1.7040709,1.7396191,0.020860758,0.020860757678747177,1.8744781,1.7396191,DLinear,192,12
22,DLinear_SL_48_PL_48_Divvy,1.8300688,1.8379936,0.0043303263,0.004330326337367296,2.0130758,1.8379936,DLinear,48,48
23,DLinear_SL_192_PL_96_Divvy,2.2328804,2.2382238,0.0023930692,0.0023930692113935947,2.4561684,2.2382238,DLinear,192,96
24,FEDformer_SL_96_PL_96_Divvy,1.8003756,1.758993,-0.02298551,-0.022985510528087616,1.9804132,1.758993,FEDformer,96,96
25,DLinear_SL_48_PL_24_Divvy,1.5234113,1.5379409,0.009537533,0.009537532925605774,1.6757524,1.5379409,DLinear,48,24
26,Autoformer_SL_24_PL_12_Divvy,1.2415365,1.1478915,-0.07542668,-0.07542668282985687,1.3656902,1.1478915,Autoformer,24,12
27,FEDformer_SL_48_PL_12_Divvy,1.3173939,1.3034374,-0.010594058,-0.010594057850539684,1.4491333,1.3034374,FEDformer,48,12
28,FEDformer_SL_48_PL_48_Divvy,1.7735788,1.7631321,-0.0058901627,-0.0058901626616716385,1.9509367,1.7631321,FEDformer,48,48
29,Autoformer_SL_12_PL_12_Divvy,0.888346,0.8398584,-0.054581888,-0.054581888020038605,0.97718066,0.8398584,Autoformer,12,12
30,DLinear_SL_192_PL_144_Divvy,2.3065758,2.5254478,0.094890475,0.09489047527313232,2.5372334,2.5254478,DLinear,192,144
31,DLinear_SL_96_PL_48_Divvy,2.2866359,2.1227493,-0.07167146,-0.07167146354913712,2.5152996,2.1227493,DLinear,96,48
32,Autoformer_SL_96_PL_48_Divvy,1.8960313,1.7735243,-0.06461232,-0.06461232155561447,2.0856345,1.7735243,Autoformer,96,48
33,DLinear_SL_96_PL_24_Divvy,1.7399033,1.8569137,0.067251064,0.0672510638833046,1.9138937,1.8569137,DLinear,96,24
34,DLinear_SL_48_PL_12_Divvy,1.1976595,1.206158,0.0070959646,0.007095964625477791,1.3174255,1.206158,DLinear,48,12
35,FEDformer_SL_96_PL_12_Divvy,1.3799565,1.3657548,-0.010291369,-0.010291368700563908,1.5179522,1.3657548,FEDformer,96,12
36,DLinear_SL_192_PL_48_Divvy,1.6614943,2.2067027,0.32814345,0.1,1.8276438,1.8276438,DLinear,192,48
37,FEDformer_SL_192_PL_96_Divvy,1.6763858,1.6417997,-0.020631332,-0.0206313319504261,1.8440244,1.6417997,FEDformer,192,96
38,DLinear_SL_96_PL_12_Divvy,1.4843044,1.5317913,0.031992696,0.03199269622564316,1.6327349,1.5317913,DLinear,96,12
39,DLinear_SL_24_PL_12_Divvy,1.0999057,1.0847682,-0.013762591,-0.013762591406702995,1.2098963,1.0847682,DLinear,24,12
40,FEDformer_SL_24_PL_24_Divvy,1.5698441,1.4722607,-0.06216121,-0.06216121092438698,1.7268286,1.4722607,FEDformer,24,24
41,FEDformer_SL_192_PL_48_Divvy,1.5724695,1.5498124,-0.01440857,-0.014408569782972336,1.7297164,1.5498124,FEDformer,192,48
42,Autoformer_SL_48_PL_48_Divvy,2.0295033,1.8182067,-0.104112506,-0.1,2.2324538,1.8182067,Autoformer,48,48
43,Autoformer_SL_96_PL_96_Divvy,1.8082052,1.7373829,-0.03916721,-0.03916721045970917,1.9890258,1.7373829,Autoformer,96,96
44,DLinear_SL_96_PL_96_Divvy,2.38287,2.3725357,-0.0043368936,-0.004336893558502197,2.621157,2.3725357,DLinear,96,96
45,FEDformer_SL_96_PL_24_Divvy,1.5003699,1.6025571,0.06810798,0.0681079775094986,1.650407,1.6025571,FEDformer,96,24
